#{"t_start": 1754642765.804988, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
515.0,3961,1159.242975
550.0,3419,1161.023139
515.0,3465,1162.823666
220.0,1939,1163.868728
395.0,2643,1169.472252
285.0,2431,1170.77394
175.0,2043,1171.843793
615.0,4197,1174.075031
690.0,3989,1176.159267
325.0,3293,1177.887998
440.0,3011,1179.429444
300.0,2423,1180.735951
315.0,2757,1182.190752
490.0,3225,1183.939369
360.0,3029,1185.538864
110.0,2039,1186.630126
285.0,2569,1187.998555
300.0,3727,1189.954945
340.0,2577,1191.296474
305.0,3487,1193.118898
465.0,3311,1194.86357
330.0,2640,1196.244522
690.0,3809,1198.215785
305.0,3021,1199.783746
555.0,4447,1202.051572
315.0,2367,1203.280453
420.0,3267,1205.002927
640.0,4409,1207.309232
315.0,2625,1208.729377
360.0,2857,1210.245625
585.0,3955,1212.303621
445.0,3998,1214.43373
330.0,2649,1215.857391
185.0,2845,1217.391484
290.0,2475,1218.703985
360.0,2775,1220.170003
400.0,4103,1226.895164
730.0,3661,1228.83293
85.0,1545,1229.634667
520.0,3237,1231.374791
475.0,3571,1233.245907
330.0,3100,1234.901614
500.0,2797,1236.36431
425.0,4197,1238.564254
545.0,4415,1240.90244
515.0,2540,1242.290906
305.0,2985,1243.882387
430.0,3599,1245.787433
540.0,2738,1247.265131
495.0,3133,1248.891367
345.0,2729,1250.364033
450.0,3941,1252.458893
975.0,6121,1255.753051
480.0,3779,1257.750322
315.0,2681,1259.139265
270.0,2433,1260.439075
515.0,2853,1261.93766
720.0,3729,1263.905791
360.0,2241,1265.05422
460.0,3559,1266.907167
225.0,1991,1267.944834
530.0,2561,1269.285901
480.0,3983,1271.337883
450.0,3503,1273.152164
725.0,4085,1275.258512
465.0,3741,1277.224138
470.0,3527,1279.071785
570.0,3854,1286.23055
490.0,3587,1288.123177
655.0,3711,1290.080337
745.0,3839,1292.121189
605.0,5663,1295.141719
390.0,2903,1296.695429
455.0,3401,1298.525155
315.0,2503,1299.895378
470.0,3521,1301.751784
500.0,4597,1304.207495
715.0,4063,1306.375344
295.0,3683,1308.369022
555.0,4725,1310.939251
515.0,3431,1312.714914
540.0,3709,1314.637614
440.0,3633,1316.577796
545.0,4304,1318.891579
660.0,3401,1320.683598
355.0,2947,1322.263027
235.0,2133,1323.374335
530.0,3525,1325.252442
310.0,2647,1326.654343
285.0,2723,1328.097847
665.0,3837,1330.203013
495.0,3777,1332.220238
300.0,3348,1334.041893
570.0,4136,1336.267284
585.0,3591,1338.165936
380.0,2499,1344.281035
470.0,3425,1346.113277
505.0,4179,1348.383582
725.0,4201,1350.662977
365.0,3328,1352.43416
515.0,3907,1354.479871
475.0,3917,1356.560316
455.0,3917,1358.600764
705.0,3885,1360.626302
460.0,3941,1362.654579
655.0,3855,1364.680779
210.0,2093,1365.794727
485.0,3591,1367.66896
345.0,2614,1369.054507
590.0,3623,1371.029423
480.0,3569,1372.985922
350.0,2241,1374.189152
330.0,2412,1375.482194
350.0,2967,1377.060265
380.0,3389,1378.85573
415.0,3018,1380.46156
295.0,2801,1381.935922
530.0,4213,1384.177019
525.0,4485,1386.530442
345.0,2263,1387.743002
395.0,3465,1389.577966
425.0,4027,1391.742441
525.0,3483,1393.608652
600.0,4267,1395.879468
530.0,4109,1403.003722
490.0,3403,1404.817773
570.0,4522,1407.186375
140.0,1967,1408.236663
560.0,3002,1409.833991
995.0,6043,1413.028856
545.0,3480,1414.907055
350.0,3013,1416.481426
545.0,4245,1418.693656
750.0,4447,1421.023822
800.0,4473,1423.32469
545.0,4607,1425.716798
995.0,6693,1429.225966
765.0,5895,1432.323403
525.0,3638,1434.204504
545.0,3763,1436.133357
340.0,3195,1437.86048
800.0,3969,1439.928064
740.0,4067,1442.084428
545.0,3841,1444.1206
365.0,3521,1445.974604
745.0,4049,1448.062439
530.0,3351,1449.851595
755.0,4795,1452.362161
640.0,3875,1454.381956
555.0,3997,1462.578979
600.0,4323,1464.888557
780.0,3422,1466.678836
520.0,3839,1468.67432
510.0,3825,1470.662853
260.0,2903,1472.204472
600.0,4183,1474.396072
1070.0,6095,1477.609883
345.0,3201,1479.295451
605.0,4063,1481.429372
560.0,2369,1482.707811
315.0,2787,1484.18856
490.0,3713,1486.117758
745.0,3204,1487.839696
570.0,3990,1489.950932
515.0,3995,1491.992589
420.0,3800,1493.99126
950.0,7107,1497.699033
545.0,3500,1499.544121
425.0,4268,1501.728753
585.0,4165,1503.883816
685.0,3885,1505.873787
520.0,3777,1507.889212
545.0,4079,1509.955244
575.0,3721,1511.902974
800.0,4367,1514.148069
405.0,4189,1521.32738
540.0,3489,1523.157852
705.0,4457,1525.475437
1115.0,7259,1529.266941
470.0,3361,1531.07319
485.0,3393,1532.841031
600.0,4557,1535.242172
420.0,3239,1537.022316
545.0,3985,1539.099181
445.0,4563,1541.537434
770.0,6095,1544.740864
845.0,4751,1547.221756
600.0,3257,1548.918294
575.0,4286,1551.173113
305.0,2311,1552.418254
155.0,2159,1553.567012
545.0,3974,1555.697685
395.0,3226,1557.419658
565.0,3813,1559.474991
1350.0,7437,1563.402885
870.0,5661,1566.437696
770.0,4601,1568.804493
475.0,4173,1571.019414
410.0,2391,1572.291332
